name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,1756,41602743,signal,-111.9004960,33.4221088,0,secondary,,,
,1757,41714394,,-111.8878272,33.4220762,0,secondary,,,
,1758,5165061599,,-111.8893730,33.4221154,0,secondary,,,
,1759,5519793980,,-111.8924984,33.4219124,0,secondary,,,
,1760,4347774954,,-111.8998427,33.4221097,0,secondary,,,
,1761,3519288956,,-111.8945345,33.4220614,0,secondary,,,
,1762,390531826,,-111.8906688,33.4130917,0,secondary,,,
,1763,4347774949,,-111.8903621,33.4211975,0,secondary,,,
,1764,5744617432,,-111.8902855,33.4226152,0,secondary,,,
,1765,4347778847,,-111.8916316,33.4292975,0,secondary,,,
,1767,4347778849,,-111.8905330,33.4293712,1,secondary,,1767,
,1768,4347778846,,-111.9012868,33.4292117,0,secondary,,,
,1770,4347778845,,-111.9054159,33.4291752,0,secondary,,,
,1771,41500382,signal,-111.9047590,33.4291809,0,secondary,,,
,1772,4347778848,,-111.8999765,33.4293529,0,secondary,,,
,1774,5165002617,,-111.9028799,33.4291918,0,secondary,,,
,1776,5165002583,,-111.9021068,33.4293318,0,secondary,,,
,1777,41238930,,-111.8892286,33.4292547,0,secondary,,,
,1778,3884364848,,-111.8864941,33.4293429,-1,secondary,,1778,
,1779,4347778843,,-111.8919500,33.4226779,0,secondary,,,
,1780,4347778844,,-111.8902320,33.4283532,0,secondary,,,
,1781,5744617433,,-111.8918514,33.4288414,0,secondary,,,
,1782,7280628287,signal,-111.8919920,33.4075638,0,secondary,,,
,1783,4347789202,,-111.9036796,33.4075603,0,secondary,,,
,1784,3574852335,,-111.9041993,33.4075604,0,secondary,,,
,1785,3574852336,,-111.9025134,33.4075601,0,secondary,,,
,1786,3574852346,,-111.8939914,33.4075567,0,secondary,,,
,1787,4347789197,,-111.8946154,33.4075571,0,secondary,,,
,1788,4347789193,,-111.9010795,33.4074279,0,secondary,,,
,1789,41883132,signal,-111.9005220,33.4074280,0,secondary,,,
,1790,4347789190,,-111.8950492,33.4074251,0,secondary,,,
,1791,4347789191,,-111.8943713,33.4074254,0,secondary,,,
,1792,41883130,,-111.9025149,33.4074277,0,secondary,,,
,1793,3712512239,,-111.8950483,33.4075573,0,secondary,,,
,1794,4347789192,,-111.8955984,33.4074275,0,secondary,,,
,1795,4347789203,,-111.9061110,33.4075627,0,secondary,,,
,1796,3574852332,,-111.9067570,33.4075662,0,secondary,,,
,1797,4347789199,,-111.8999557,33.4075580,0,secondary,,,
,1798,3574852339,signal,-111.9005190,33.4075576,0,secondary,,,
,1799,3989525770,,-111.8917180,33.4073423,0,secondary,,,
,1800,3989525768,,-111.8906518,33.4073479,0,secondary,,,
,1801,4347789201,,-111.9020941,33.4075599,0,secondary,,,
,1802,3346067454,,-111.8939914,33.4074255,0,secondary,,,
,1803,4347789200,,-111.8932254,33.4075596,0,secondary,,,
,1804,4347789195,,-111.9029567,33.4074291,0,secondary,,,
,1805,4347789196,,-111.9047364,33.4074346,0,secondary,,,
,1806,41495628,,-111.9041993,33.4074331,0,secondary,,,
,1807,4347789198,,-111.8971715,33.4075572,0,secondary,,,
,1809,4347789194,,-111.8982887,33.4074288,0,secondary,,,
,1810,5742275192,,-111.8925962,33.4075620,0,secondary,,,
,1811,3981260837,,-111.9066999,33.4074332,0,secondary,,,
,1812,4347789208,,-111.8914915,33.4114308,0,motorway,,,
,1813,4347789207,,-111.8914765,33.4110814,0,motorway,,,
,1814,4347789206,,-111.8914666,33.4108510,0,motorway,,,
,1815,5130973471,,-111.8914429,33.4102990,0,motorway,,,
,1816,255815461,,-111.8912880,33.4005301,0,motorway,,,
,1817,5744569277,,-111.8919935,33.4099004,0,secondary,,,
,1818,4347782888,,-111.8903402,33.4065600,0,secondary,,,
,1819,4347789205,,-111.8919800,33.4082737,0,secondary,,,
,1820,7280628286,signal,-111.8903600,33.4075757,0,secondary,,,
,1821,41200703,,-111.8903876,33.4083229,0,secondary,,,
,1822,3365286555,,-111.8917541,33.3930327,0,secondary,,,
,1823,4347800582,,-111.8939088,33.3929093,0,secondary,,,
,1824,4347800580,,-111.8928630,33.3928474,0,secondary,,,
,1825,41812304,signal,-111.9005610,33.3929627,0,secondary,,,
,1826,4347800585,,-111.8998967,33.3929619,0,secondary,,,
,1827,1945648630,,-111.8906278,33.3928113,0,secondary,,,
,1828,7280628306,signal,-111.8920320,33.3928146,0,secondary,,,
,1829,3365286546,,-111.8942525,33.3929724,0,secondary,,,
,1830,3365286543,,-111.8941335,33.3929226,0,secondary,,,
,1831,4347800581,,-111.8895769,33.3928573,0,secondary,,,
,1832,4347800576,,-111.8910592,33.3911280,0,motorway,,,
,1833,5742275165,,-111.8920293,33.3923469,0,secondary,,,
,1834,4347800588,,-111.8920311,33.3936308,0,secondary,,,
,1835,10239483927,,-111.8904730,33.3922069,0,secondary,,,
,1836,5742233794,,-111.8904607,33.3926386,0,secondary,,,
,1837,4347800573,,-111.8934080,33.3797012,0,secondary,,,
,1838,5742233748,,-111.8935383,33.3789570,0,secondary,,,
,1839,41794876,,-111.8905325,33.3907861,0,secondary,,,
,1840,4347800572,,-111.8927174,33.3785416,1,secondary,,1840,
,1841,4347809598,,-111.8944720,33.3649974,0,secondary,,,
,1842,314439814,,-111.8944065,33.3654187,0,secondary,,,
,1843,9823441618,,-111.8944248,33.3653004,0,secondary,,,
,1844,4347809595,,-111.8947040,33.3596794,0,secondary,,,
,1845,314442070,,-111.8946351,33.3621443,0,secondary,,,
,1846,4054964868,,-111.8946681,33.3615816,0,secondary,,,
,1847,41501594,signal,-111.9026145,33.3638064,0,secondary,,,
,1848,4347811756,,-111.9019717,33.3638072,0,secondary,,,
,1849,5742168679,,-111.8951481,33.3637913,0,secondary,,,
,1850,4347871648,,-111.9695175,33.4104134,0,secondary,,,
,1851,4347871647,,-111.9695190,33.4100805,0,secondary,,,
,1852,4347871649,,-111.9695175,33.4106435,0,secondary,,,
,1853,394920908,,-111.9695185,33.4098486,0,secondary,,,
,1855,4347871645,,-111.9607930,33.4082109,0,secondary,,,
,1856,4347871650,,-111.9608199,33.4128680,0,secondary,,,
,1857,4347871630,,-111.9607748,33.3983150,0,secondary,,,
,1858,4347871631,,-111.9607687,33.3995754,0,secondary,,,
,1859,4347871629,,-111.9607719,33.3969018,0,secondary,,,
,1860,4347871627,,-111.9607747,33.3947943,0,secondary,,,
,1861,41759046,,-111.9607779,33.3950157,0,secondary,,,
,1862,41884185,signal,-111.9607860,33.3964940,0,secondary,,,
,1863,4347871628,,-111.9607931,33.3959464,0,secondary,,,
,1864,4347871633,,-111.9607700,33.4031340,0,secondary,,,
,1865,41805644,signal,-111.9607780,33.4036863,0,secondary,,,
,1866,419345089,,-111.9607839,33.3953812,0,secondary,,,
,1867,4347871634,,-111.9607874,33.4042617,0,secondary,,,
,1868,41875723,signal,-111.9607930,33.4074299,0,secondary,,,
,1869,41693601,signal,-111.9607710,33.4001426,0,secondary,,,
,1870,4347871632,,-111.9607694,33.4006922,0,secondary,,,
,1871,4347871635,,-111.9607928,33.4067415,0,secondary,,,
,1872,4347871642,,-111.9614424,33.4074330,0,secondary,,,
,1873,4347871641,,-111.9618273,33.4074336,0,secondary,,,
,1874,4347871644,,-111.9669996,33.4079004,0,secondary,,,
,1875,2290382272,,-111.9665466,33.4077122,0,secondary,,,
,1876,4347871638,,-111.9548116,33.4074030,0,secondary,,,
,1877,41875715,signal,-111.9552674,33.4074044,0,secondary,,,
,1878,41875713,signal,-111.9521677,33.4073946,0,secondary,,,
,1879,4347871637,,-111.9527416,33.4073962,0,secondary,,,
,1880,4347871639,,-111.9557829,33.4074068,0,secondary,,,
,1881,4347871636,,-111.9514850,33.4073932,0,secondary,,,
,1882,5162721435,,-111.9594708,33.4074207,0,secondary,,,
,1883,4347871640,,-111.9597710,33.4074218,0,secondary,,,
,1884,4347871643,,-111.9650681,33.4075356,0,secondary,,,
,1885,2290382250,,-111.9625802,33.4075042,0,secondary,,,
,1886,2290382362,,-111.9695191,33.4092295,0,secondary,,,
,1887,6058475298,,-111.9391558,33.4074189,0,secondary,,,
,1888,41883112,signal,-111.9349040,33.4074493,0,secondary,,,
,1889,4347874713,,-111.9354177,33.4074426,0,secondary,,,
,1890,4347874712,,-111.9389839,33.4074225,0,secondary,,,
,1891,6058475294,,-111.9385439,33.4074212,0,secondary,,,
,1892,4347874706,,-111.9397110,33.4006552,0,secondary,,,
,1893,41190824,signal,-111.9397020,33.4001158,0,secondary,,,
,1894,41662620,signal,-111.9397460,33.4025993,0,secondary,,,
,1895,4347874707,,-111.9397383,33.4021375,0,secondary,,,
,1896,4347874715,,-111.9398844,33.4080275,0,secondary,,,
,1897,4347874710,,-111.9484957,33.4073813,0,secondary,,,
,1898,41875709,signal,-111.9478490,33.4073778,0,secondary,,,
,1899,4897758639,,-111.9401355,33.4074051,0,secondary,,,
,1902,4347875875,,-111.9258842,33.4512451,2,secondary,,1902,
,1903,4347875874,,-111.9271704,33.4512283,0,secondary,,,
,1904,4347875877,,-111.9099533,33.4512703,0,secondary,,,
,1905,41565331,signal,-111.9093050,33.4512726,0,primary,,,
,1906,4347875869,,-111.9093203,33.4505929,0,primary,,,
,1907,4347875870,,-111.9263889,33.4507953,0,primary,,,
,1908,4347875887,,-111.9265442,33.4519424,0,primary,,,
,1909,4347876195,,-111.9262766,33.4580258,0,primary,,,
,1910,41517353,signal,-111.9262680,33.4584832,-1,primary,,1910,
,1911,2226532383,,-111.9263780,33.4520635,0,primary,,,
,1912,2612962520,signal,-111.9264300,33.4584797,0,tertiary,,,
,1913,2704830000,,-111.9265149,33.4529638,0,primary,,,
,1914,4347879714,,-111.9471998,33.4073794,0,secondary,,,
,1915,4347881903,,-111.9538768,33.3636835,0,secondary,,,
,1916,42019711,,-111.9559632,33.3636975,0,secondary,,,
,1917,1789501280,,-111.9565254,33.3637105,2,secondary,,1917,
,1918,330683937,signal,-111.9176983,33.4148708,0,tertiary,,,
,1919,4347879969,,-111.9167018,33.4148707,0,primary,,,
,1920,4347879987,,-111.9090695,33.4285518,0,secondary,,,
,1921,41638531,signal,-111.9091030,33.4174837,0,secondary,,,
,1922,4347879973,,-111.9091070,33.4172087,0,secondary,,,
,1923,4347879976,,-111.9091035,33.4177774,0,secondary,,,
,1924,4347879982,,-111.9090227,33.4214590,0,secondary,,,
,1925,4347879967,,-111.9091097,33.4141228,0,secondary,,,
,1926,4347879970,,-111.9091146,33.4153740,0,secondary,,,
,1927,4347900942,,-111.9262882,33.4105131,0,primary,,,
,1928,4347900943,,-111.9262942,33.4124964,0,primary,,,
,1929,4347879977,,-111.9262955,33.4184244,0,primary,,,
,1930,4347879978,,-111.9262944,33.4185822,0,primary,,,
,1931,4347879971,,-111.9262936,33.4155005,0,primary,,,
,1932,4347879972,,-111.9263007,33.4163769,0,primary,,,
,1933,4347879974,,-111.9262999,33.4173616,0,primary,,,
,1934,4347879975,,-111.9263000,33.4175412,0,primary,,,
,1935,41573980,signal,-111.9263030,33.4168382,0,primary,,,
,1936,2704829974,,-111.9262833,33.4283177,0,primary,,,
,1937,5133355428,,-111.9263688,33.4275117,0,primary,,,
,1938,4347879983,,-111.9263971,33.4227462,0,primary,,,
,1939,41573982,signal,-111.9262960,33.4191375,0,primary,,,
,1940,1501648953,,-111.9262989,33.4202366,0,primary,,,
,1941,2671959143,signal,-111.9262980,33.4202694,0,primary,,,
,1942,4347879966,,-111.9262948,33.4140912,0,primary,,,
,1943,5646686312,,-111.9262947,33.4141212,0,primary,,,
,1944,4347879980,,-111.9263916,33.4208903,0,primary,,,
,1945,2300341851,,-111.9263019,33.4203615,0,primary,,,
,1946,4347879985,,-111.9262248,33.4242002,0,primary,,,
,1947,4347879981,,-111.9262465,33.4214303,0,primary,,,
,1948,4347879986,,-111.9263790,33.4250061,0,primary,,,
,1949,2704829968,signal,-111.9263810,33.4245047,0,primary,,,
,1950,9658596255,,-111.9262455,33.4211600,0,primary,,,
,1951,12444549885,,-111.9262517,33.4220797,0,primary,,,
,1953,4347899768,,-111.9609391,33.3852103,0,secondary,,,
,1954,4347899766,,-111.9609642,33.3840305,0,secondary,,,
,1955,4347899767,,-111.9609633,33.3843163,0,secondary,,,
,1957,4347899779,,-111.9607661,33.3940395,0,secondary,,,
,1958,41884178,,-111.9607677,33.3943039,0,secondary,,,
,1959,41553003,signal,-111.9607620,33.3928427,0,secondary,,,
,1960,4347899778,,-111.9607621,33.3933514,0,secondary,,,
,1961,5160946684,,-111.9607635,33.3935953,0,secondary,,,
,1962,419344174,,-111.9607648,33.3938189,0,secondary,,,
,1963,41337413,signal,-111.9608910,33.3880573,0,secondary,,,
,1964,6503071028,,-111.9608847,33.3883203,0,secondary,,,
,1965,4347899764,,-111.9621095,33.3800763,0,secondary,,,
,1966,316914339,,-111.9609358,33.3852900,0,secondary,,,
,1967,4347899772,,-111.9607806,33.3920825,0,secondary,,,
,1968,4347899754,,-111.9623764,33.3782534,0,secondary,,,
,1969,4347899758,,-111.9703756,33.3783223,0,secondary,,,
,1970,4347899757,,-111.9706751,33.3783127,0,secondary,,,
,1971,41633368,signal,-111.9654660,33.3783795,0,secondary,,,
,1972,4347899761,,-111.9663768,33.3783737,0,secondary,,,
,1973,4347899756,,-111.9710245,33.3783043,0,secondary,,,
,1974,4347899759,,-111.9648418,33.3783670,0,secondary,,,
,1975,4347899760,,-111.9650772,33.3783711,0,secondary,,,
,1976,4347899748,,-111.9667786,33.3781500,0,secondary,,,
,1977,1019377595,signal,-111.9654670,33.3781645,0,secondary,,,
