link_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes
56,400,39,1,1713.39,1,90,99999,connector,0,"LINESTRING (-111.9664624 33.4393155, -111.9525185541581 33.4292177099346)",,1,0,0,0.15,4,1,1.06,55.0,55.0,1.14,,,,
57,7,455,1,805.2,1,90,99999,connector,0,"LINESTRING (-111.96462995434977 33.382844063374215, -111.9681498 33.3762119)",,1,0,0,0.15,4,1,0.5,55.0,55.0,0.54,,,,
58,455,7,1,805.2,1,90,99999,connector,0,"LINESTRING (-111.9681498 33.3762119, -111.96462995434977 33.382844063374215)",,1,0,0,0.15,4,1,0.5,55.0,55.0,0.54,,,,
59,4,506,1,1227.0,1,90,99999,connector,0,"LINESTRING (-111.96854061981801 33.41865076566256, -111.9786272 33.411521)",,1,0,0,0.15,4,1,0.76,55.0,55.0,0.82,,,,
60,506,4,1,1227.0,1,90,99999,connector,0,"LINESTRING (-111.9786272 33.411521, -111.96854061981801 33.41865076566256)",,1,0,0,0.15,4,1,0.76,55.0,55.0,0.82,,,,
61,15,511,1,439.2,1,90,99999,connector,0,"LINESTRING (-111.90234525424631 33.371047113918, -111.9002132 33.3675143)",,1,0,0,0.15,4,1,0.27,55.0,55.0,0.29,,,,
62,511,15,1,439.2,1,90,99999,connector,0,"LINESTRING (-111.9002132 33.3675143, -111.90234525424631 33.371047113918)",,1,0,0,0.15,4,1,0.27,55.0,55.0,0.29,,,,
63,16,513,1,80.24,1,90,99999,connector,0,"LINESTRING (-111.9198593295126 33.35646127620905, -111.9198248 33.3571842)",,1,0,0,0.15,4,1,0.05,55.0,55.0,0.05,,,,
64,513,16,1,80.24,1,90,99999,connector,0,"LINESTRING (-111.9198248 33.3571842, -111.9198593295126 33.35646127620905)",,1,0,0,0.15,4,1,0.05,55.0,55.0,0.05,,,,
65,9,516,1,588.0,1,90,99999,connector,0,"LINESTRING (-111.8886884054658 33.384501451790044, -111.8928035 33.3804781)",,1,0,0,0.15,4,1,0.37,55.0,55.0,0.39,,,,
66,516,9,1,588.0,1,90,99999,connector,0,"LINESTRING (-111.8928035 33.3804781, -111.8886884054658 33.384501451790044)",,1,0,0,0.15,4,1,0.37,55.0,55.0,0.39,,,,
67,25,546,1,309.99,1,90,99999,connector,0,"LINESTRING (-111.88681356806566 33.41709433318095, -111.8847826 33.4148783)",,1,0,0,0.15,4,1,0.19,55.0,55.0,0.21,,,,
68,546,25,1,309.99,1,90,99999,connector,0,"LINESTRING (-111.8847826 33.4148783, -111.88681356806566 33.41709433318095)",,1,0,0,0.15,4,1,0.19,55.0,55.0,0.21,,,,
69,39,573,1,1597.63,1,90,99999,connector,0,"LINESTRING (-111.9525185541581 33.4292177099346, -111.964671 33.4393996)",,1,0,0,0.15,4,1,0.99,55.0,55.0,1.07,,,,
70,573,39,1,1597.63,1,90,99999,connector,0,"LINESTRING (-111.964671 33.4393996, -111.9525185541581 33.4292177099346)",,1,0,0,0.15,4,1,0.99,55.0,55.0,1.07,,,,
71,2,582,1,290.28,1,90,99999,connector,0,"LINESTRING (-111.92234488535459 33.32935351748038, -111.9203207 33.3273629)",,1,0,0,0.15,4,1,0.18,55.0,55.0,0.19,,,,
72,582,2,1,290.28,1,90,99999,connector,0,"LINESTRING (-111.9203207 33.3273629, -111.92234488535459 33.32935351748038)",,1,0,0,0.15,4,1,0.18,55.0,55.0,0.19,,,,
73,8,618,1,1397.12,1,90,99999,connector,0,"LINESTRING (-111.97327504107547 33.40084275258209, -111.9819475 33.4111272)",,1,0,0,0.15,4,1,0.87,55.0,55.0,0.93,,,,
74,618,8,1,1397.12,1,90,99999,connector,0,"LINESTRING (-111.9819475 33.4111272, -111.97327504107547 33.40084275258209)",,1,0,0,0.15,4,1,0.87,55.0,55.0,0.93,,,,
75,9,619,1,769.46,1,90,99999,connector,0,"LINESTRING (-111.8886884054658 33.384501451790044, -111.8806616 33.3861709)",,1,0,0,0.15,4,1,0.48,55.0,55.0,0.51,,,,
