link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,is_link,link_type_name,from_biway
49,,,9,619,,"LINESTRING (-111.8886884054658 33.384501451790044, -111.8806616 33.3861709)",1,769.46,,0,90,1,99999,drive,0,0.15,4,1,0.48,55.0,55.0,0.51,,,,,0,connector,1
50,,,9,1884,,"LINESTRING (-111.8886884054658 33.384501451790044, -111.8927174 33.3785416)",1,759.92,,0,90,1,99999,drive,0,0.15,4,1,0.47,55.0,55.0,0.51,,,,,0,connector,1
51,,,9,2298,,"LINESTRING (-111.8886884054658 33.384501451790044, -111.8928901 33.3799735)",1,636.44,,0,90,1,99999,drive,0,0.15,4,1,0.4,55.0,55.0,0.42,,,,,0,connector,1
52,,,9,2674,,"LINESTRING (-111.8886884054658 33.384501451790044, -111.8924412 33.3788691)",1,715.66,,0,90,1,99999,drive,0,0.15,4,1,0.44,55.0,55.0,0.48,,,,,0,connector,1
53,,,9,2722,,"LINESTRING (-111.8886884054658 33.384501451790044, -111.8751613 33.385931)",1,1268.58,,0,90,1,99999,drive,0,0.15,4,1,0.79,55.0,55.0,0.85,,,,,0,connector,1
54,,,10,2725,,"LINESTRING (-111.93623000381992 33.41263157306175, -111.9265017 33.4097547)",1,959.51,,0,90,1,99999,drive,0,0.15,4,1,0.6,55.0,55.0,0.64,,,,,0,connector,1
55,,,11,847,,"LINESTRING (-111.93554156226384 33.38198489716801, -111.926596 33.3850249)",1,898.05,,0,90,1,99999,drive,0,0.15,4,1,0.56,55.0,55.0,0.6,,,,,0,connector,1
56,,,12,1092,,"LINESTRING (-111.93502429906005 33.38922761939677, -111.9350752 33.385998)",1,358.23,,0,90,1,99999,drive,0,0.15,4,1,0.22,55.0,55.0,0.24,,,,,0,connector,1
57,,,12,2700,,"LINESTRING (-111.93502429906005 33.38922761939677, -111.9436696 33.3923882)",1,877.42,,0,90,1,99999,drive,0,0.15,4,1,0.55,55.0,55.0,0.58,,,,,0,connector,1
58,,,13,2107,,"LINESTRING (-111.9372945460827 33.370969836922804, -111.9458903 33.363664)",1,1138.64,,0,90,1,99999,drive,0,0.15,4,1,0.71,55.0,55.0,0.76,,,,,0,connector,1
59,,,14,2130,,"LINESTRING (-111.9197301488269 33.371174231536045, -111.919921 33.363768)",1,821.62,,0,90,1,99999,drive,0,0.15,4,1,0.51,55.0,55.0,0.55,,,,,0,connector,1
60,,,15,348,,"LINESTRING (-111.90234525424631 33.371047113918, -111.8937892 33.3698643)",1,806.97,,0,90,1,99999,drive,0,0.15,4,1,0.5,55.0,55.0,0.54,,,,,0,connector,1
61,,,15,511,,"LINESTRING (-111.90234525424631 33.371047113918, -111.9002132 33.3675143)",1,439.2,,0,90,1,99999,drive,0,0.15,4,1,0.27,55.0,55.0,0.29,,,,,0,connector,1
62,,,15,1000,,"LINESTRING (-111.90234525424631 33.371047113918, -111.8933625 33.3783282)",1,1162.27,,0,90,1,99999,drive,0,0.15,4,1,0.72,55.0,55.0,0.77,,,,,0,connector,1
63,,,15,1244,,"LINESTRING (-111.90234525424631 33.371047113918, -111.894004 33.3637981)",1,1117.59,,0,90,1,99999,drive,0,0.15,4,1,0.69,55.0,55.0,0.75,,,,,0,connector,1
64,,,15,2285,,"LINESTRING (-111.90234525424631 33.371047113918, -111.8936528 33.3726188)",1,827.48,,0,90,1,99999,drive,0,0.15,4,1,0.51,55.0,55.0,0.55,,,,,0,connector,1
