name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes,new_node_id
,2309,9823582572,,-111.9096107,33.4375218,2,primary,,2309.0,,2353
,2463,3367301498,,-111.9176682,33.4237215,2,tertiary,,2463.0,,2507
,2471,41884122,,-111.9631805,33.3754835,2,tertiary,,2471.0,,2515
,2483,41594792,,-111.9005981,33.3840541,2,tertiary,,2483.0,,2527
,2552,41565322,signal,-111.917927,33.4512709,2,tertiary,,2552.0,,2596
,2569,2915600598,,-111.9395699,33.4582697,2,tertiary,,2569.0,,2613
,2570,3750151582,,-111.9350129,33.4584444,2,tertiary,,2570.0,,2614
,2575,5208244608,,-111.979025,33.3999631,2,tertiary,,2575.0,,2619
,2605,41602742,,-111.9004705,33.4257042,2,tertiary,,2605.0,,2649
,2606,1584142650,,-111.9784365,33.4219607,-1,motorway,,2606.0,,2650
,2614,5146784047,,-111.8943488,33.3236256,-1,secondary,,2614.0,,2658
,2616,314442572,,-111.8933336,33.3507374,1,motorway,,2616.0,,2660
,2618,255738081,,-111.8939011,33.358018,-1,secondary,,2618.0,,2662
,2619,255738090,,-111.8932327,33.3507484,1,secondary,,2619.0,,2663
,2630,3520951390,,-111.8924412,33.3788691,1,secondary,,2630.0,,2674
,2634,3989531167,,-111.8884441,33.4074374,-1,secondary,,2634.0,,2678
,2645,5132648792,,-111.9683747,33.3745058,-1,motorway,,2645.0,,2689
,2646,6124246693,,-111.9628108,33.4379245,1,motorway,,2646.0,,2690
,2656,6154857994,,-111.9436696,33.3923882,1,secondary,,2656.0,,2700
,2662,2209506334,,-111.9305253,33.4666296,2,tertiary,,2662.0,,2706
,2678,7113795746,,-111.8751613,33.385931,1,motorway,,2678.0,,2722
,2681,2300341686,,-111.9265017,33.4097547,1,primary,,2681.0,,2725
,2687,7919721854,,-111.9456073,33.327198,2,secondary,,2687.0,,2731
,2698,316115396,,-111.9785185,33.4347551,-1,motorway,,2698.0,,2742
,2709,8859244957,,-111.8962367,33.4349496,1,motorway,,2709.0,,2753
,2716,6232083123,,-111.9720876,33.3245642,1,motorway,,2716.0,,2760
,2721,42551761,,-111.9631602,33.3600693,2,tertiary,,2721.0,,2765
,2737,2714317934,,-111.9004556,33.4291314,2,tertiary,,2737.0,,2781
,2746,255821209,,-111.9305883,33.435399,2,tertiary,,2746.0,,2790
,2747,5147338953,,-111.9096123,33.4370109,2,primary,,2747.0,,2791
,2753,256196668,,-111.9785607,33.4208538,-1,motorway,,2753.0,,2797
,2757,2301213622,,-111.9695209,33.3608659,1,motorway,,2757.0,,2801
,2787,256193632,,-111.9833808,33.4106672,1,motorway,,2787.0,,2831
,2791,12058711233,,-111.9589008,33.4290435,2,tertiary,,2791.0,,2835
,2792,2239876807,,-111.9784652,33.4191768,-1,motorway,,2792.0,,2836
,2796,1990638650,,-111.9814596,33.4114142,-1,motorway,,2796.0,,2840
